company_name,country_code,state_code,city,status,category_group_list,funding_total_usd,founded_on,closed_on,uuid
Provision Diagnostic Imaging,USA,TN,Knoxville,operating,biotechnology|health care|science and engineering,"1,736,410",1/1/2012,,8fa1c015-0c1b-2880-34be-db628e3f81d1
Clodico,USA,TN,Oak Ridge,operating,information technology|professional services,"120,000",1/1/2013,,5e48755b-b4b9-1e7a-1980-7dffddca6e88
Artiphon,USA,TN,Nashville,operating,consumer electronics|education|hardware|media and entertainment|music and audio|software,"1,300,000",1/1/2011,,90c6f558-57a6-9276-f7c7-17bbd256d2d4
Citizengine,USA,TN,Nashville,operating,consumer electronics|hardware|information technology|software,"9,703,020",1/1/2012,,e4c7fc94-81b8-f8f9-ac5d-d29ba1874157
Pickle,USA,TN,Memphis,closed,content and publishing|media and entertainment|mobile,"135,000",5/1/2014,9/18/2015,00bbd731-bce4-2ada-501d-2b8ec23f1414
MakeWay Wellness,USA,TN,Brentwood,operating,health care,,7/15/2013,,2c3f38d1-b8b9-ab24-249d-28fe7840410f
Boomalang,USA,TN,Nashville,operating,education|hardware|media and entertainment|music and audio,"40,000",5/1/2014,,147993d2-2cbc-f6f0-afaa-27b9d200ed90
Jobs Hatchery,USA,TN,Memphis,operating,financial services|lending and investments,,1/1/2013,,9d169141-301a-c6eb-b94a-77473643b63e
MusicStockExchange,USA,TN,Nashville,operating,financial services|media and entertainment|music and audio,"275,000",3/1/2011,,9f07f988-251c-86f8-4efe-b0a8cbef9459
New Wind,USA,TN,Nashville,operating,energy|natural resources|sustainability,"2,230,975",1/1/2010,,dc2774bd-d44a-1592-e20d-76b6ae7111ed
Fiveworx,USA,TN,Knoxville,acquired,energy|sales and marketing|software|sustainability,,1/1/2014,,ff3869ec-e52f-d500-ef40-64504d357f3f
Beaver Liquors,USA,TN,Nashville,operating,data and analytics,,1/23/2015,,a9ad816e-cc3d-48bd-6f1e-27d644fa3970
1417Power,USA,TN,Brentwood,operating,financial services|lending and investments,,1/12/2012,,a7a4f9c1-6fc7-ceb2-691f-ba46c9f2c4f1
Socket,USA,TN,Nashville,operating,apps|hardware|mobile|software,,1/1/2012,,85d018c6-8164-4251-f363-4275eec91175
Remedify,USA,TN,Nashville,closed,hardware|software,"210,000",6/1/2012,,12b7a57c-c9c4-7c09-1a50-92e4d0202cb2
Epic Stock Media,USA,TN,Nashville,operating,gaming|media and entertainment|music and audio,,1/1/2014,,a60ab76a-9bf0-1664-9b95-7775424f109f
Scorebird,USA,TN,Nashville,operating,media and entertainment|mobile|platforms|software,"500,000",1/1/2014,,6f136f89-dc04-42f9-38cf-12c975b590b4
"KickShark, Inc.",USA,TN,Nashville,closed,design|financial services|lending and investments|manufacturing,"100,000",1/1/2015,,ad820da3-c9fe-c6a8-321a-94d1e758a610
Meridian Econometrics LLC,USA,TN,Memphis,operating,data and analytics|internet services|navigation and mapping,"1,000,000",1/1/2014,,d74bccc8-1b26-8dd6-0bf4-d3dd8fcd00da
RN Entertainment,USA,TN,Nashville,operating,content and publishing|media and entertainment|music and audio,"10,000",11/1/2014,,3e103c2f-d141-5bff-90a2-6e15088a53f6
"Escadrille, Inc.",USA,TN,Chattanooga,operating,clothing and apparel|community and lifestyle|design|sports,"419,630",1/3/2013,,5ec5b1f6-c701-c5b2-49a7-79882174d75f
Future Vision Energy,USA,TN,Hendersonville,operating,energy|hardware|sustainability,,3/1/2010,,b29f8e81-c713-3a85-e850-76be4da668ae
SocialCoaster Digital Agency (SDA),USA,TN,Nashville,operating,advertising|media and entertainment|sales and marketing,"650,000",1/1/2014,,57aff97f-4dd7-8faa-cf47-d9ff69f332ff
PhyMed Healthcare Group,USA,TN,Nashville,operating,health care,,1/1/2012,,2a468bf7-3c04-2c10-3a86-000667166b76
Beyond Games,USA,TN,Utah,operating,mobile,"800,000",1/1/2013,,7410bab5-fcb7-9e85-00ac-56710fae5f5c
Utilize Health,USA,TN,Nashville,operating,health care|sports,"765,000",1/1/2012,,e4e7833c-f823-5d7e-0d57-64cc3fc8990b
Genera Energy,USA,TN,Vonore,operating,biotechnology|energy|science and engineering|sustainability,"9,000,000",1/1/2008,,9d462a86-20c8-b4c7-c8d9-a5328b2b8d26
"Brickhunter USA, LLC",USA,TN,Chattanooga,operating,commerce and shopping|information technology|internet services|real estate|software,,9/1/2014,,c225ea16-e0bf-048b-4234-ac42c5f1386a
Encore Gaming,USA,TN,Nashville,operating,gaming|information technology|software,"4,353,500",1/1/2013,,8065a6b2-ae12-8dff-defa-982ae315e34a
GTx,USA,TN,Memphis,ipo,biotechnology|health care|science and engineering,"114,681,455",1/1/1997,,fdc0bb7a-173b-be99-20ca-32411e784143
Torch,USA,TN,Chattanooga,operating,hardware|internet services|mobile,"2,000,000",11/20/2014,,e18a17c5-8be5-d061-76cb-3c747647c12d
Kettle Real Estate Investments,USA,TN,Clarksville,operating,real estate,,11/1/2014,,98ed97dd-3084-d13e-3d04-1d09b5351424
NewQuest Health Solutions,USA,TN,Nashville,operating,financial services|health care,,1/1/2009,,0757fa30-942b-3d3a-1fd0-2401dd6ace27
ProNova Solutions,USA,TN,Knoxville,operating,biotechnology|health care|science and engineering,"40,202,460",1/1/2011,,2cb931a6-2641-6130-2a71-db66fcd773a9
Price-Points sm,USA,TN,Memphis,operating,financial services|lending and investments,,11/10/2014,,f5745f01-dac3-cd58-6e45-0a9971e9840c
Preeminent Leadership,USA,TN,Hendersonville,operating,education,,5/17/2015,,2af04654-9b3d-ac5d-0978-9de60f04933a
myNEXUS,USA,TN,Brentwood,operating,health care,"13,600,000",1/1/2014,,8ce1230b-c566-dba7-d147-d747f90aab76
International Coffee Group,USA,TN,Chattanooga,operating,food and beverage,"700,000",1/1/1997,,4629bf9f-92e6-85f1-3291-1615bec639a2
Rossville Solar Farm,USA,TN,Chattanooga,operating,energy|natural resources|sustainability,"30,000",10/24/2014,,868dcef2-b65e-52fc-88db-cfe8ad5d288f
Ear IQ,USA,TN,Nashville,operating,media and entertainment|music and audio,,1/1/2015,,e579ed54-f98e-66f6-283c-e4221742f5ad
KaraoQ,USA,TN,Nashville,operating,internet services|media and entertainment|mobile|music and audio,,1/1/2014,,ee3bd4a7-747c-5034-9d98-f145d135919e
RMXHTZ,USA,TN,Nashville,operating,media and entertainment,,1/1/2015,,abb2c2e0-2fcd-31f9-3f1f-3b724cfb4121
VideoBomb,USA,TN,Nashville,operating,media and entertainment|music and audio|video,,2/17/2015,,9de4a743-6ff2-d457-a35f-c83b2668a566
EndoInSight,USA,TN,Cordova,operating,health care,"175,000",5/9/2014,,213c8439-ec4a-f8e0-152d-983831a9243e
Lucent Health Solutions,USA,TN,Nashville,operating,health care,"13,500,000",1/1/2014,,b1d603de-d9c9-2a90-95ab-41a03602f9f2
Results Physiotherapy,USA,TN,Franklin,operating,health care,,1/1/1996,,bf715721-06bb-63b6-a10f-236de0ed87bd
Bernard Health,USA,TN,Nashville,operating,financial services|health care|media and entertainment,"4,000,000",6/1/2006,,5b73caf1-c58b-74bd-2dcb-19d6bab6ed20
Exile Media,USA,TN,Nashville,operating,content and publishing|media and entertainment,,7/6/2012,,beb688b1-ef96-bab1-4647-10021ad80cf5
Healthcare TTU,USA,TN,Franklin,operating,financial services|health care,"2,500,000",1/1/2014,,576ae1d0-5a1e-dcab-59f0-98ad103b196c
Pathway Lending,USA,TN,Nashville,operating,,"1,750,000",1/1/1999,,9f6fc513-62d4-5037-6cb1-0e3fdc862c98
Care2Manage,USA,TN,Memphis,operating,health care|mobile,"30,000",12/8/2012,,8302a298-c076-344d-ab74-0a33bd8e3044
FuelFilm,USA,TN,Memphis,operating,media and entertainment|video,"40,000",9/1/2009,,a351e473-5c46-9a45-45d3-ee8eff902cd9
MEDArchon,USA,TN,Nashville,operating,biotechnology|health care|science and engineering,"1,802,640",1/1/2012,,95950598-27da-43d8-a0d5-5cd48e528237
Twin Willows Construction,USA,TN,Knoxville,operating,energy|natural resources|real estate|sustainability,"175,000",4/1/2012,,7ec0787b-f119-cbff-270a-c3351cfe5607
WheelTek of Memphis,USA,TN,Memphis,operating,transportation,,11/17/2007,,11f71f93-ea81-ef29-ecbe-8a2644b4cd3e
CoreCommerce,USA,TN,Franklin,operating,commerce and shopping|software,"125,000",1/1/2008,,f3540449-2332-0340-0ceb-015969d7f357
Medalogix,USA,TN,Nashville,operating,data and analytics,"5,300,000",2/1/2009,,aa4f8020-79ba-7b66-aef0-d928b418dc12
Spotwise,USA,TN,Nashville,operating,data and analytics|hardware|software|transportation,"42,500",1/1/2014,,d29f2954-2dfa-4474-98eb-b33ac4383b34
American Medical CO-OP,USA,TN,Franklin,operating,health care,"1,612,500",1/1/2012,,f119d491-957c-e174-4572-f23c241bf982
Healthcare MarketMaker,USA,TN,Nashville,operating,health care,"80,000",1/1/2013,,6c13ba0d-7d2f-785f-8b85-7d588878ab5b
Amiare,USA,TN,Nashville,operating,energy|natural resources|sustainability,"1,290,000",11/25/2013,,5a94277f-f4f8-68b3-af82-5227ebcb7b15
Akimbo LLC,USA,TN,Chattanooga,operating,professional services|sales and marketing|software,"470,000",2/1/2012,,3475e03e-a4c8-280f-b974-406dfe3a2898
Knock Knock,USA,TN,Nashville,operating,software,"1,500",6/28/2014,,5a821e10-ab5d-3a7d-3f1d-a4eaf7525be0
Qualifacts Systems,USA,TN,Nashville,operating,health care|information technology|software,,1/1/2000,,eebdd469-27c7-6211-00ac-09682935c535
Roovyn,USA,TN,Mount Juliet,operating,content and publishing|media and entertainment,,7/8/2013,,c62cc394-1116-3104-f711-1316bd7b4a7a
Censis Technologies,USA,TN,Franklin,operating,health care,,1/1/1999,,f985817c-81fb-ed15-53d9-bfaf7aed662b
Survature,USA,TN,Knoxville,operating,data and analytics|design,"792,132",1/1/2013,,e58e3725-ef64-cd5f-f52a-810d76989cb5
Entrada,USA,TN,Brentwood,acquired,health care|information technology|mobile,"7,050,301",1/1/2005,,c6605f9f-a10d-ddc2-3ff1-2bc56a7f966a
Change Healthcare,USA,TN,Brentwood,operating,education|health care|information technology,"48,000,000",1/1/2005,,53e7b604-1ccb-0e6a-efc3-7ddf555826ec
Veterans Business Services Organization,USA,TN,Lexington,operating,education,"3,000",6/30/2014,,00412f5f-a853-cbc6-5675-fa42446d75ba
GiveToken,USA,TN,Nashville,operating,,"250,000",6/1/2014,,92d44180-a673-14d8-1baa-1037e779fe86
Jamanimal,USA,TN,Nashville,closed,internet services|media and entertainment|music and audio,"600,000",2/1/2014,,8e28f0d3-43a3-80f2-e525-dc59544c4a5d
"Octovis, Inc.",USA,TN,Nashville,operating,health care|information technology|mobile,"180,000",3/1/2014,,c73fb3c6-8766-f19a-21e5-1469694ec0d7
Phase,USA,TN,Memphis,operating,apps|internet services|software,"15,000",7/1/2014,,31bb11b1-296a-a6cf-f54b-83a67793bd29
Zipflip,USA,TN,Chattanooga,operating,software|transportation,"730,000",3/20/2014,,b7758022-e119-0783-1d00-16fa9c75fcfd
The Convenience Network,USA,TN,Knoxville,operating,advertising|sales and marketing,"902,612",1/1/2009,,c7951ab5-eed6-c7f4-676c-465b24a9d73b
S2 Interactive,USA,TN,Germantown,operating,health care,"786,674",9/1/2011,,9e403c66-e095-dcc8-d0f0-1990229330e0
LiveSchool,USA,TN,Nashville,operating,apps|education|software,"2,395,319",5/1/2011,,5ed5d936-f516-04ef-bb77-c96871c4f775
Preferral,USA,TN,Nashville,operating,education|health care,"553,000",1/1/2008,,f0e6a352-cae4-67cc-6020-e081f792d9ae
VenX Medical,USA,TN,Nashville,operating,hardware|software,"2,920,103",1/1/2009,,10d9be13-4dc0-a551-5579-de6cf71ef71a
Inova Payroll,USA,TN,Nashville,operating,financial services|payments,"7,100,000",1/1/2010,,e8399ad7-4da6-f937-c328-dc785c05d28f
Ambition,USA,TN,Chattanooga,operating,software,"2,000,000",2/21/2013,,cc68abb5-198d-1049-cf4f-3bf965275753
InvisionHeart,USA,TN,Nashville,operating,health care,"1,915,000",1/1/2013,,fa118be5-7298-881f-7fc6-eb7ffab0d2b6
Chef Shuttle,USA,TN,Collierville,operating,food and beverage|transportation,,2/3/2014,,ccafd9be-099d-deb8-243d-1c47ff1d7050
Spendsetter,USA,TN,Nashville,operating,advertising|commerce and shopping|data and analytics|mobile|sales and marketing,"17,998,631",1/1/2009,,cf89363f-b9ff-df07-57a6-1b3fc670eb3e
Smart Furniture,USA,TN,Chattanooga,operating,commerce and shopping|consumer goods|design|real estate,"8,660,000",1/1/2001,,8575d9b1-fd97-39e5-23e3-97d608eb972a
"3D Operations, Inc.",USA,TN,Chattanooga,operating,health care|manufacturing,"7,500",1/1/2014,,7b9f9d18-4cd9-f8ae-ea48-7c69be0d8254
"Blood Monitoring Solutions, Inc.",USA,TN,Memphis,operating,data and analytics|health care|information technology|software,"50,000",5/14/2014,,0d45ebd7-7203-0686-ef1a-d0890350a90e
Innometrix,USA,TN,Memphis,operating,health care,"50,000",5/14/2014,,cab1a39c-a489-257f-90ac-7a8530afa2ca
Aloncii,USA,TN,Nashville,operating,clothing and apparel|commerce and shopping|consumer goods|design,"15,000",1/1/2014,,c34abf72-ea0f-3011-3a2b-527b750f912a
Applyance,USA,TN,Nashville,operating,information technology|professional services|software,"15,000",1/1/2013,,df7f230a-5119-f3f5-2419-62fa5e0ac80f
Arrister,USA,TN,Nashville,operating,commerce and shopping|consumer goods|manufacturing,"15,000",1/1/2014,,78a1d010-9ba6-54f2-88ce-058c9ef47d59
Well Done,USA,TN,Memphis,operating,commerce and shopping|events|financial services|food and beverage|information technology|internet services|media and entertainment|mobile|payments|software|travel and tourism,"15,000",5/1/2014,,e7064a73-bff6-63d6-ae8a-65863c7b04a3
PROVECTUS PHARMACEUTICALS,USA,TN,Knoxville,ipo,biotechnology|health care|science and engineering,"10,592,426",1/1/2002,,3896b606-77d5-83b8-6975-d923786ca5a7
Populr,USA,TN,Nashville,acquired,data and analytics|information technology|internet services|messaging and telecommunications,"975,000",8/30/2011,,e8923c41-4ead-6aca-2f8b-553cef863179
Parental Health,USA,TN,Franklin,operating,health care|information technology,"1,795,000",1/1/2009,,5bf7e4fb-763e-292a-0aca-76ce6a2f1a2e
ABT Molecular Imaging,USA,TN,Knoxville,operating,health care,"28,364,818",1/1/2006,,68eed649-8061-a564-afa3-14550d2eee7f
Prime Health Services,USA,TN,Brentwood,operating,health care,"8,000,000",1/1/1996,,7e845ff4-33a3-021b-277b-4323276f033c
HealthStream,USA,TN,Nashville,ipo,education|internet services|software,"2,400,000",1/1/1990,,14798525-7ebb-e75e-6430-39d96e3d7519
Tidal Wave Technology,USA,TN,Memphis,operating,energy|natural resources|sustainability,"1,470,000",1/1/2011,,f88dc797-4066-058f-3625-8a26647d9b50
American Addiction Centers,USA,TN,Brentwood,ipo,biotechnology|health care|science and engineering,"8,877,015",1/1/2007,,1f46d2ef-992a-3eec-75b3-2a7a6f0a3358
Pathfinder Technologies,USA,TN,Nashville,acquired,biotechnology|health care|science and engineering,"7,476,374",1/1/2004,,28286e58-89a0-e2c0-acf1-9a4e04a2caec
Hubble Telemedical,USA,TN,Knoxville,acquired,biotechnology|health care|science and engineering,"1,150,000",1/1/2011,,cacd7eee-119e-53ec-8eb5-205eac47f245
Variable,USA,TN,Chattanooga,operating,hardware|software,"1,850,000",12/7/2009,,9fe2bf2b-59e1-e574-820a-a6d227db05b2
Dataium,USA,TN,Nashville,operating,data and analytics|software,"3,104,714",1/1/2009,,d605746d-060b-ecd2-6c0c-c8ee342c3974
i3 Verticals,USA,TN,Nashville,operating,commerce and shopping|financial services|payments|software,"16,608,000",1/1/2012,,14ea437f-6021-d469-c251-e2a342b7cb03
BorderJump,USA,TN,Nashville,operating,commerce and shopping,"735,000",1/1/2008,,0b8d72df-b8ba-0c45-6a9c-339951fe2a6d
INFERNO FITNESS NASHVILLE,USA,TN,Nashville,operating,sports,"4,000",3/12/2012,,2d589502-1d8b-5d8b-7ea9-291b98a7b438
Mentor Me,USA,TN,Memphis,operating,community and lifestyle|education|software,"175,000",12/8/2012,,830f2c72-0330-8073-77b1-14f9dd05103c
Leafless,USA,TN,Arlington,operating,content and publishing|media and entertainment|sales and marketing,"345,000",2/8/2013,,52881da1-3598-05cc-ee3f-08c18e5b2df4
Quovant,USA,TN,Nashville,operating,data and analytics|government and military|privacy and security|professional services,,1/1/1992,,2dc2dbb2-e5f7-4fbd-1eca-fd50124decf1
Evergreen Real Estate,USA,TN,Nashville,operating,real estate,"4,000,000",1/1/2012,,5bca960b-86a9-66ba-2c32-5ee7c0a1beea
NewsBreak,USA,TN,Knoxville,operating,commerce and shopping|hardware|media and entertainment|software,,8/25/2009,,b8fbb94f-eecc-36c3-7b08-2440d9423acf
Relatient,USA,TN,Franklin,operating,health care,,8/7/2010,,14261379-a8b8-8fcf-7f02-d922d772bb1c
Covenant Surgical Partners,USA,TN,Nashville,acquired,biotechnology|health care|science and engineering,"76,336,992",1/1/2008,,673996ac-03c9-d6d3-b993-7c9b98569469
Healthcare Bluebook,USA,TN,Brentwood,operating,health care,"10,000,000",1/1/2008,,9b854149-09d9-acc7-2207-2f5db48a7997
Mobilizer,USA,TN,Memphis,operating,health care,"350,000",1/1/2013,,76dcd907-3eee-fc1d-1421-71f5c0631a0b
Carbon Objects,USA,TN,Chattanooga,operating,content and publishing|media and entertainment,"250,000",1/1/2013,,86451f71-5fef-c8cb-152f-177c18f1330d
Urova Medical,USA,TN,Memphis,operating,health care,"404,000",5/15/2012,,e25c1609-ba7e-145e-6d11-4169d5ec5180
Mississippi ALF Investor,USA,TN,Memphis,operating,health care,"1,200,000",1/1/2013,,ad3d1ae1-cb86-81ff-2f7c-099bf77b5fdf
Blue Bay Technologies,USA,TN,Nashville,operating,hardware|manufacturing|science and engineering|software,"100,000",1/1/2007,,4f1553fb-0ec7-ff75-6470-899055f37ca7
Hathaway Renewable Energy,USA,TN,Leoma,operating,energy|natural resources|sustainability,"1,000,000",1/1/2006,,83d4b009-a09e-b4ba-c714-07998c27a786
IMI Health,USA,TN,Brentwood,acquired,health care|information technology,"75,000",1/1/1995,,20a82f12-f32b-8791-e22c-e1d904712175
ReDoc Software,USA,TN,Brentwood,acquired,health care|software,"3,949,998",1/1/1995,,7ebcea84-6b21-2b7f-f651-9093cb78701d
emids,USA,TN,Nashville,operating,information technology|software,"13,300,000",1/1/1999,,bcd7a07c-b2b2-5cd3-0f1b-092c5ca334f9
Wunderlich Securities,USA,TN,Memphis,acquired,financial services|lending and investments|sales and marketing,"40,000,000",1/1/1996,,fb72e5e3-b112-0848-e127-7fd34403431a
Apollo Laser Welding Services,USA,TN,Memphis,operating,manufacturing,"140,000",6/9/2014,,cb979175-5639-0e9d-762f-77ccf426f7d7
Dinetouch,USA,TN,Knoxville,operating,commerce and shopping|financial services|mobile|payments,"100,000",5/1/2011,,97748808-1320-6d52-4882-9ff32ba1417b
Consensus Point,USA,TN,Nashville,operating,data and analytics|design|software,"5,938,758",1/1/2006,,542bc7d0-fe50-5f31-80a6-f10bf25bd6d3
Diagnovus,USA,TN,Nashville,acquired,health care,"2,010,000",1/1/2011,,c9972d1a-731f-b5b0-592e-4fe75c0d1c5f
Legacybox,USA,TN,Chattanooga,operating,consumer electronics|content and publishing|hardware|media and entertainment|video,"12,022",1/1/2001,,820748a0-97e5-ef54-3f4e-8e6ce72a1171
RecruitTalk,USA,TN,Nashville,operating,education|media and entertainment|professional services|sports|video,"50,000",9/30/2012,,58167958-fce9-87ea-bb88-6bc5c117e30b
Tin Roof,USA,TN,Nashville,operating,food and beverage|internet services|media and entertainment,,1/1/2002,,8285eb79-b43e-2f87-ff8c-1bf05cfd9b46
Big Bears Recycling,USA,TN,Knoxville,operating,professional services|sustainability,,10/12/2009,,89e22a99-b107-8a35-a6ff-a39259e9d399
Artwardly,USA,TN,Memphis,operating,events|internet services|media and entertainment,,1/1/2013,,72720a45-fb8b-fdd5-1e0c-b8761a688fab
GemPhones,USA,TN,Memphis,operating,clothing and apparel|commerce and shopping|consumer electronics|design|hardware,,1/1/2013,,6aaf90f4-3588-5b24-be40-9ffe57704728
StyroPower,USA,TN,Knoxville,operating,natural resources|sustainability,,3/15/2012,,da0c41d6-1583-1f4a-4b46-6d6f9fe60010
Free Automotive Training,USA,TN,Memphis,operating,education,,10/1/2013,,3f76fa45-0996-5884-f4a9-e6c5a392a436
Foomanchew,USA,TN,Brentwood,operating,commerce and shopping|food and beverage,"400,000",1/1/2012,,736239b3-4d17-3b24-3d4f-83a669714d65
Jenn Rykert,USA,TN,Nashville,operating,,,9/27/2013,,0e2afc94-6662-4400-9f43-aade70211271
BreatheAmerica,USA,TN,Nashville,operating,biotechnology|health care|science and engineering,"29,800,000",1/1/2006,,f9265a64-8919-3bdf-eb8c-b4672946f06b
PRSM Healthcare,USA,TN,Brentwood,operating,biotechnology|health care|science and engineering,"105,000",1/1/2011,,4e7e164f-ee0b-2823-557d-7653c5ef65ad
Health & Bliss,USA,TN,Memphis,operating,health care,"2,050,000",1/1/2013,,1a75a588-38bd-0a3e-51de-e4f7b085429f
BioNanovations,USA,TN,Memphis,operating,health care,"165,000",5/14/2012,,658498af-3cc3-ff6f-2255-d994c365fd10
Focal Point Pharmaceuticals,USA,TN,Memphis,operating,health care,"150,000",1/1/2013,,d2669efa-229e-82d8-1b99-70e21f098be9
GOBA,USA,TN,Nashville,operating,information technology|internet services|messaging and telecommunications|mobile,"1,825,000",10/20/2009,,7d485abb-71ee-bc02-5628-eb7548b41bf5
GreenDot Trans,USA,TN,Nashville,operating,software|transportation,"20,000",1/1/2013,,9bfc7368-8f61-d552-90f4-f3907327b2f7
InVivioLink,USA,TN,Nashville,operating,health care|information technology,"4,900,000",1/1/2008,,617e856a-cce1-60cf-714c-30a097a2cdeb
Juice Analytics,USA,TN,Nashville,operating,data and analytics|design|information technology|software,"500,000",1/1/2004,,db9361d9-95e6-73a5-4ca9-2a3d4c06be02
Mach Fuels,USA,TN,Chattanooga,operating,transportation,,1/1/2012,,28ff90e7-36e8-364d-eb21-2dd5cd5b91b6
MyWerx,USA,TN,Nashville,operating,internet services|media and entertainment|music and audio|software,"14,000",1/1/2008,,19dcf342-ad07-9045-fb45-7d2740a8c11b
SecureWaters,USA,TN,Tullahoma,operating,data and analytics|natural resources,"637,500",1/1/2011,,1bfeb5f4-d69d-53c3-1379-caf7ec9880c6
Snapshot Interactive,USA,TN,Nashville,operating,design|internet services|media and entertainment|sales and marketing|software|video,"325,000",1/1/2010,,d9d1fc97-9e7b-340a-c1b5-7bace46b36ea
Streamweaver,USA,TN,Nashville,operating,internet services|media and entertainment|mobile|software|video,"3,029,994",1/1/2011,,8105657f-0655-b662-ef92-4caeae3e94cb
SwingPal,USA,TN,Franklin,operating,sports,"800,000",1/1/2010,,be188d7e-bfb9-411f-0421-1fab7c258cf3
VideoLens,USA,TN,Nashville,operating,media and entertainment|real estate|video,"500,000",1/1/2007,,abbe76df-2245-de95-e928-a49d7994f40f
View Medical,USA,TN,Memphis,operating,hardware|health care,"100,000",5/11/2013,,b8338d99-9147-8844-30ac-61b8f0eecf24
Samuels Sleep,USA,TN,Memphis,operating,commerce and shopping|manufacturing|science and engineering,,8/16/2013,,7df072b9-a768-64b0-20da-9206d43fee90
dVisit,USA,TN,Nashville,closed,health care,"15,000",1/1/2013,10/9/2015,2fb84815-019d-498e-827e-a0165d16f8e3
Poliana,USA,TN,Nashville,closed,data and analytics|government and military,"15,000",1/1/2013,1/1/2015,e27e1dfe-3367-90ce-fa5d-cab45e8dd0ea
Rocket Raise,USA,TN,Collegedale,closed,advertising|internet services|messaging and telecommunications|sales and marketing,"15,000",8/1/2013,,3d383ee5-7bf4-e92c-c2cb-d723460500be
SpecialtyCare,USA,TN,Nashville,operating,health care,"569,968",1/1/2006,,0c8ed58b-6b5d-59ae-3b1b-43d21eec29af
TRAKLOK,USA,TN,Knoxville,operating,hardware|software,"3,182,533",1/1/2008,,deb7eed4-63bc-3642-aa06-3df0e7e9cf1a
Care Technology Systems,USA,TN,Nashville,operating,data and analytics|health care|internet services|sales and marketing,"980,000",1/1/2010,,eaebb3a4-3d29-d4f9-4a53-5b16850460fb
Kids360,USA,TN,Memphis,operating,privacy and security,"15,000",1/1/2013,,a03ce2ae-5701-56a2-77cc-863de079db34
Memphis Street Newspaper Organization,USA,TN,Memphis,operating,content and publishing|media and entertainment,,1/1/2013,,5c9ba670-db97-b8bb-dad3-a3de32bf2da8
Cigna HealthSpring,USA,TN,Franklin,acquired,biotechnology|health care|science and engineering,"8,281,347",1/1/2000,,e364e0ed-d59a-1dc1-bdc1-aaecbdab2be0
Aloompa,USA,TN,Nashville,operating,artificial intelligence|data and analytics|events|internet services|media and entertainment|mobile|navigation and mapping|software,"500,000",1/1/2009,,5da29873-0f5f-cf49-af6d-31d1194d6d25
SupplyHog,USA,TN,Chattanooga,operating,commerce and shopping|internet services|real estate,"2,975,000",1/1/2011,,fd050551-75f7-d675-66e6-b0c24ea49c5f
Ballparc,USA,TN,Nashville,operating,apps|software|transportation,,1/1/2012,,fcb93592-eb1e-3578-e987-c441835c4335
DiaTech Oncology,USA,TN,Brentwood,operating,biotechnology|health care|information technology|science and engineering,"18,000,000",6/1/2003,,f2871c68-d3f8-ed03-9d63-a713fc80f316
Cuff-Protect,USA,TN,Memphis,operating,health care,"50,000",1/1/2013,,277c0d1b-608f-d902-1391-e53476d92de7
FwdHealth,USA,TN,Chattanooga,operating,health care,"7,500",10/1/2012,,7c79e470-af06-c84e-a02d-a0c4b742895a
NaviHealth,USA,TN,Brentwood,acquired,health care,"4,099,999",1/1/2011,,0791ced3-0e3b-004e-f4e5-0324f6a5393b
Shareholder InSite,USA,TN,Nashville,acquired,information technology|software,"7,655,002",1/1/2008,,4816ec39-5ac6-af42-02ed-92ddbabe6ec4
Sisasa,USA,TN,Chattanooga,operating,financial services,"7,500",5/1/2013,,28033b58-27a0-db73-49d4-4f0b60cde141
Unity Physician Partners,USA,TN,Nashville,operating,health care,"6,006,000",1/1/2013,,2b284acc-fd1f-8fdb-8629-6bf8aef4c0b1
AIS,USA,TN,Memphis,operating,health care|information technology,"50,000",1/1/2004,,3d8d68b9-4c22-9581-e0ed-f1d7c0f28d63
EDP Biotech,USA,TN,Knoxville,operating,biotechnology|health care|science and engineering,"2,706,000",1/1/2005,,7d7832dd-8626-ee68-d04d-07a3c09d6910
SurgiLight,USA,TN,Memphis,operating,financial services|lending and investments,"50,000",1/1/2013,,af708570-e017-7cdc-2c10-eaf5a45e2d28
CrowdPC,USA,TN,Nashville,closed,hardware|internet services|mobile|platforms|software,"780,000",6/4/2012,9/1/2013,06687b60-0060-5cbc-c58e-e8378598d362
GreenPal,USA,TN,Nashville,operating,apps|mobile|software,"250,000",5/1/2012,,dae69d49-b924-488a-0c5d-5053f39262ed
Zingfin,USA,TN,Nashville,operating,data and analytics|design|financial services|information technology|lending and investments|software,"15,000",1/31/2013,,15d43618-f16d-a304-8308-8c59cbbcf75e
CleanApp,USA,TN,Memphis,closed,mobile,"1,010",2/5/2013,6/1/2013,772edcac-c18c-39f1-6576-7f7fd3469a82
Alert/Divert Systems,USA,TN,Nashville,operating,transportation,"20,000",1/1/2013,,f905ad24-81c0-b6e8-edea-19677521568e
Consensium,USA,TN,Tullahoma,operating,artificial intelligence|data and analytics|science and engineering|software|transportation,"20,000",1/1/2013,,85edf517-c6b5-e1d3-4bf1-887ec2a7bb77
"EnhanceWorks, Inc.",USA,TN,Nashville,operating,apps|data and analytics|mobile|platforms|software,"300,000",3/1/2013,,f001500d-6b08-2888-405c-2ad00d8923d1
Pinewood Social,USA,TN,Nashville,operating,community and lifestyle|food and beverage,"1,150,000",1/1/2012,,76887eeb-0ee3-6bd4-181f-212712c870d4
